No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
73,연성흠,괴적단,"신명서림, 회동서관, 경성서관",1927,,Book,T,
74,정인섭,적사의 가면,해외문학,1927.01.,,Article,T,
75,최광륜,독살 사건의 진범인,새벗,1927.01.,,Article,T,
76,양주동,813,신민,1927.01.,1927.04.,Article,T,
77,김단정,괴적단,중외일보,1927.03.,1927.06,Article,T,
78,최독견,조그만 심판,동광,1927.04.,,Article,T,
79,N/A,피 칠한 세균,청년,1927.04.,,Article,T,
80,주요한,소복의 비밀,동아일보,1927.05.05,1927.08.14.,Article,T,
81,방정환,괴남녀 이인조,별건곤,1927.08.,,Article,T,
82,권천생,은 갈퀴,학창,1927.1,미상,Article,T,
83,N/A,적막강산,대성서림,1928,,Book,T,
84,"김광배, 단정",최후의 승리,중외일보,1928.01.30.,1928.05.15.,Article,T,
85,최서해,사랑의 원수,중외일보,1928.05.16.,1928.08.03.,Article,T,
86,강영한,검둥 고양이,원고시대,1928.08.,,Article,T,
